시도명,시군구명,시티투어코스명,시티투어문의처,시티투어운영시간,시티투어운행방식,시티투어탑승장소명,시티투어코스정보,경유지주변관광정보,시티투어코스부가정보,운행정보,운행시작시각,운행종료시각,배차시간,이용요금,이용요금부가정보,홈페이지주소,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
서울특별시,중구,도심고궁남산코스(주간),02-777-6090,매일(월요일 휴무+월요일이 공휴일이면 화요일 휴무),순환형,광화문역,광화문역-명동-남산골 한옥마을-앰배서더 서울 풀만 호텔-신라호텔+장충단공원-N서울타워-하얏트호텔-동대문디자인플라자(DDP)+동대문시장-대학로-창경궁-창덕궁-인사동+북촌-청와대앞-경복궁+민속박물관+현대미술관-세종문화회관+광화문광장,,무제한 승하차 가능+15개 정류장+전체 순환 약 1.5시간,매일 운행(월요일 휴무),09:20,16:50,25,성인 27000원~36000원,제휴 시설 할인 혜택 제공,https://www.seoulcitybus.com/ko/tours/1,서울시티투어버스(노랑풍선시티버스),02-777-6090,2026-09-01,B551011,서울특별시
서울특별시,중구,야간 한강·남산 코스,02-777-6090,매일(월요일 휴무+월요일이 공휴일이면 화요일 휴무),고정형,광화문역,광화문역-마포대교-강변북로-한강대교-동작대교-반포대교-성수대교-한남대교-숭례문-청계광장-N서울타워(25분 정차)-광화문역,,논스톱 코스+1일 1회 운행+소요시간 약 90분,매일 운행(월요일 휴무)+출발시각은 계절별로 다름,19:00,20:30,0,성인 25000원~29000원,5~8월은 19:30 출발+그 외 계절은 19:00 출발,https://www.seoulcitybus.com/ko/tours/2,서울시티투어버스(노랑풍선시티버스),02-777-6090,2026-09-01,B551011,서울특별시
